year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2013,91144800790.08167,299816041724.613,39187800208031.69,25774837823382.453,11675209348.122425,11819093254.948298,10906724555.195307,4079685341464.0947,1722969184147.8489,2970824171.8618507,1013065136.1384254,33.98011968039386,12432.555288138567,6133.12511789396
2014,95288392670.09166,313446938994.945,40976055992706.37,26949603596777.203,12211515115.230394,12085476316.695578,11152552312.090544,4172596830907.62,1762148660092.2114,3039066013.6118197,1035897970.0024779,28.989161800873184,10608.166837091225,5232.858376222726
2015,99524499935.43124,327382188971.7708,42804463105612.414,28150729641787.293,12759863560.294237,12355312857.240557,11401568162.857798,4266283263447.711,1801689067515.0981,3107307855.3617864,1059026816.334906,90.47155874012273,33111.24020231289,16332.6047724917
2016,103866750781.16675,341666609830.45764,44678542511736.36,29381842793259.78,13321806543.47511,12664898300.061796,11687253429.834448,4372851947622.691,1846669727208.7769,3184343571.358228,1085562711.4338684,37.287883620813744,13649.396262621567,6732.3621972554865
2017,108291948981.43385,356223929634.3873,46588173936854.68,30636334545695.76,13894273338.088936,12906828084.11279,11910534385.033106,4455806658609.625,1881737628653.9255,3243978502.811726,1106299550.0668104,0.0,0.0,0.0
2018,112809604762.77269,371085425963.115,48537901388142.055,31917157847436.434,14478782810.658648,13176496028.905025,12159406087.141216,4549364053004.009,1921234952611.0396,3312220344.561696,1129413945.3347168,9.967593208758299,3649.7139937559523,1800.0
2019,117419326111.3391,386249810053.02893,50527403942726.29,33224090968034.535,15075334961.184237,13445020599.98552,12407223346.293228,4642172627363.163,1960399680897.1765,3380462186.3116636,1152430337.1416147,93.0261006301744,34064.82900261027,16800.0
2020,122132681601.98976,401755136355.8914,52561886201603.375,34560517285699.637,15685613714.773308,13747286847.731152,12686176065.977978,4747125270713.43,2004639476497.6367,3458246270.338094,1178338872.6626709,59.797713729493594,21899.66438372695,10800.0
2021,126923597674.7475,417515625876.61835,54630089251591.99,35919016074488.25,16306284214.848888,13973505212.210022,12894945971.503878,4825807116640.194,2037748183182.8823,3517132833.761586,1197729018.1894305,0.0,0.0,0.0
2022,131804275292.18198,433571422666.8296,56737483809910.19,37303207800546.36,16938997392.880335,14235309717.517214,13136561010.17263,4917253969409.1045,2076287589087.1377,3585374675.5115485,1220169404.3586175,4.982204593093922,1825.1400995483446,900.0
2023,136774515310.68889,449921854538.6665,58884004865825.49,38713025413041.62,17583753248.86766,14496533387.311802,13377626076.957117,5008549130469.035,2114726418742.8499,3653616517.261509,1242560004.6267273,73.06868076426262,26769.3458851194,13200.0
2024,141849174378.70438,466615803265.8882,61075839979486.59,40152548863777.22,18242367772.86495,14801088948.379227,13658685322.272135,5114281931875.881,2159285176103.4663,3732148969.3179398,1268664767.003934,0.0,0.0,0.0
2025,147000545373.38162,483562117185.53357,63301295631120.09,41614094103992.3,18911241978.40225,15024832067.809034,13865165934.255623,5192729853811.585,2192317860322.638,3790287164.711431,1287842748.6693475,9.961951027647203,3650.6978699388974,1800.0
2026,152244275494.56015,500812254131.7588,65566705638228.13,43101853991450.19,19592158861.89544,15294212853.436684,14113748410.54815,5285956683252.106,2231639831186.8716,3858529006.461391,1310932530.294572,1.6602166547621473,608.4674279731985,300.0
2027,157581718484.64993,518370691754.883,67872317377432.96,44616018155295.15,20285118423.3445,15567542054.428373,14365994418.919937,5379760724811.252,2271246245767.371,3926770848.2113533,1334360747.5224323,69.72491957752317,25556.340111961534,12600.0
2028,163026080470.40732,536280892403.6811,70224070559866.13,46160463160031.07,20992068717.749992,15879389125.125706,14653800530.834606,5487424092343.946,2316667507103.8364,4006051668.2977834,1361090496.4393458,68.06047782978926,24948.622438765287,12300.0
2029,168545488249.92682,554437987692.8563,72608589578209.55,47726340630184.08,21709146628.749046,16098272690.265398,14855805236.597754,5563877709467.799,2348816205229.4897,4063441495.6612744,1379851944.8798904,1.6598525418437367,608.5321419939002,300.0
2030,174155169355.9815,572892057877.9391,75032513101025.77,49318046861861.98,22438267217.70396,16361569892.658731,15098784696.885592,5655821553237.927,2387559347516.9023,4131683337.4112372,1402420276.5136046,11.618232948983202,4259.858278533509,2100.0
