year,j_day,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
2012,68,31715661.20529636,0.0,31715661.20529636,31715661.20529636,31715661.20529636,31715661.20529636,3972.5356468186105,1703076.487922239,238.6526757210406
2012,69,32182067.987727143,0.0,32182067.987727143,32182067.987727143,32182067.987727143,32182067.987727143,4030.9552886835904,1728121.7303916859,242.16227389340887
2012,70,32648474.770157926,0.0,32648474.770157926,32648474.770157926,32648474.770157926,32648474.770157926,4089.3749305485703,1753166.9728611328,245.67187206577714
2012,71,33114881.55258871,0.0,33114881.55258871,33114881.55258871,33114881.55258871,33114881.55258871,4147.794572413538,1778212.2153305798,249.1814702381454
2012,72,33581288.3350195,0.0,33581288.3350195,33581288.3350195,33581288.3350195,33581288.3350195,4206.214214278504,1803257.4578000268,252.69106841051368
2012,73,34047695.117450505,0.0,34047695.117450505,34047695.117450505,34047695.117450505,34047695.117450505,4264.63385614347,1828302.7002694737,256.2006665828819
2012,74,34514101.89988151,0.0,34514101.89988151,34514101.89988151,34514101.89988151,34514101.89988151,4323.053498008437,1853347.9427389207,259.71026475524934
2012,75,34980508.68231252,0.0,34980508.68231252,34980508.68231252,34980508.68231252,34980508.68231252,4381.473139873403,1878393.1852083676,263.21986292761676
2012,76,35446915.464743525,0.0,35446915.464743525,35446915.464743525,35446915.464743525,35446915.464743525,4439.892781738369,1903438.4276778146,266.7294610999842
2012,77,35913322.24717453,0.0,35913322.24717453,35913322.24717453,35913322.24717453,35913322.24717453,4498.312423603335,1928483.6701472616,270.2390592723516
2012,78,36379729.02960554,0.0,36379729.02960554,36379729.02960554,36379729.02960554,36379729.02960554,4556.732065468302,1953528.9126167085,273.748657444719
2012,79,36846135.812036544,0.0,36846135.812036544,36846135.812036544,36846135.812036544,36846135.812036544,4615.151707333268,1978574.1550861555,277.25825561708643
2012,80,37312542.59446755,0.0,37312542.59446755,37312542.59446755,37312542.59446755,37312542.59446755,4673.571349198234,2003619.3975556025,280.76785378945385
2012,81,37778949.37689856,0.0,37778949.37689856,37778949.37689856,37778949.37689856,37778949.37689856,4731.9909910632,2028664.6400250494,284.27745196182127
2012,82,38245356.15932956,0.0,38245356.15932956,38245356.15932956,38245356.15932956,38245356.15932956,4790.410632928167,2053709.8824944964,287.7870501341887
2012,83,38711762.94176057,0.0,38711762.94176057,38711762.94176057,38711762.94176057,38711762.94176057,4848.830274793133,2078755.1249639434,291.2966483065561
2012,84,39178169.724191576,0.0,39178169.724191576,39178169.724191576,39178169.724191576,39178169.724191576,4907.249916658099,2103800.3674333873,294.8062464789235
2012,85,39644576.50662258,0.0,39644576.50662258,39644576.50662258,39644576.50662258,39644576.50662258,4965.6695585230655,2128845.609902824,298.31584465129094
