year,j_day,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,,kg,kg,kg,kg N,kg,kg,kg,kg
2010,196,0.0,22.646228310478616,-22.646228310478616,14.781254442888212,0,3.475276627079825,0.5981653791151927,3.7915318613953835
2010,197,0.0,27.734777473876065,-27.734777473876065,24.629351710259016,0,0.0,0.0,3.105425763617051
2010,198,0.0,27.485553874769106,-27.485553874769106,25.737214086007157,0,0.0,0.0,1.7483397887619505
2010,199,0.0,28.77287421382219,-28.77287421382219,19.54563649448994,8.671876556471013,0.0,0.0,0.5553611628612335
2010,200,0.0,26.966508582502343,-26.966508582502343,26.966508582502343,0,0.0,0.0,0.0
2010,201,0.0,28.01432880686798,-28.01432880686798,28.01432880686798,0,0.0,0.0,0.0
2010,202,0.0,26.964859507332676,-26.964859507332676,26.964859507332676,0,0.0,0.0,0.0
2010,203,0.0,26.038240197130335,-26.038240197130335,26.038240197130335,0,0.0,0.0,0.0
2010,204,0.0,14.72638705692794,-14.72638705692794,-10.166886046758236,0,21.87498567078184,3.0182874329043363,0.0
2010,205,0.0,19.718995268927376,-19.718995268927376,-7.414934577448548,0,23.491028411343898,3.6429014350320257,0.0
2010,206,0.0,26.84625817704068,-26.84625817704068,26.84625817704068,0,0.0,0.0,0.0
2010,207,0.0,28.72213289419103,-28.72213289419103,-2.529797006108538,31.25192990029957,0.0,0.0,0.0
2010,208,0.0,27.71189053085039,-27.71189053085039,-4.436094181639874,32.14798471249026,0.0,0.0,0.0
2010,209,0.0,26.170987070331755,-26.170987070331755,25.784866949398747,0,0.19840000474584107,0.11708385683677479,0.07063625935039042
2010,210,0.0,26.734375482689376,-26.734375482689376,25.056201246423143,0,0.0,0.0,1.678174236266232
2010,211,0.0,26.05432701150033,-26.05432701150033,23.546745134717867,0,0.0,0.0,2.5075818767824622
2010,212,0.0,26.46446967032061,-26.46446967032061,15.143913517022838,8.24550958847457,0.0,0.0,3.075046564823203
2010,213,0.0,25.147597331176513,-25.147597331176513,21.855336451896164,0,0.0,0.0,3.292260879280349
2010,214,0.0,24.5549105850266,-24.5549105850266,21.067834430377616,0,0.0,0.0,3.487076154648985
2010,215,0.0,24.370362176263452,-24.370362176263452,20.819238767365732,0,0.0,0.0,3.551123408897721
2010,216,0.0,23.856689853357462,-23.856689853357462,20.066304350493283,0,0.0,0.0,3.7903855028641797
2010,217,0.0,23.099719450381897,-23.099719450381897,19.401002107661043,0,0.0,0.0,3.698717342720856
2010,218,0.0,22.135191123387614,-22.135191123387614,18.64064219314514,0,0.0,0.0,3.4945489302424715
2010,219,0.0,21.098866470208893,-21.098866470208893,17.632623295226722,0,0.0,0.0,3.4662431749821714
2010,220,0.0,21.846113059711403,-21.846113059711403,10.990208318529085,0,6.031853476277923,1.2475473584818328,3.5765039064225617
2010,221,0.0,19.895786620602443,-19.895786620602443,12.664415884145683,0,2.956425872742621,0.6170641893283582,3.6578806743857837
