county_code,gps_county,feed_id,neighbor_values,neighbor_distances
1107,"(33.40502222222223, -88.06157777777779)",1,[np.float64(0.2994391153846153)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",40,[np.float64(0.9837108443181818)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",41,[np.float64(0.9837108443181818)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",43,[np.float64(0.9837108443181818)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",44,[np.float64(0.9837108443181818)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",46,[np.float64(0.9837108443181818)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",47,[np.float64(0.9837108443181818)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",50,[np.float64(0.7578033200000001)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",51,[np.float64(0.7578033200000001)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",52,[np.float64(0.7578033200000001)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",53,[np.float64(0.7578033200000001)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",54,[np.float64(0.7578033200000001)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",55,[np.float64(0.7578033200000001)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",56,[np.float64(0.7578033200000001)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",61,[np.float64(1.3587312617977527)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",62,[np.float64(1.3587312617977527)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",63,[np.float64(1.3587312617977527)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",64,[np.float64(1.3587312617977527)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",65,[np.float64(1.3587312617977527)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",105,[np.float64(0.2994391153846153)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",106,[np.float64(0.2994391153846153)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",107,[np.float64(0.2994391153846153)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",108,[np.float64(0.2994391153846153)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",109,[np.float64(0.6458646266666667)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",110,[np.float64(0.6458646266666667)],[48.416143768186664]
1107,"(33.40502222222223, -88.06157777777779)",111,[np.float64(0.6458646266666667)],[48.416143768186664]
