county_code,gps_county,feed_id,neighbor_values,neighbor_distances
1107,"(33.40502222222223, -88.06157777777779)",197,[np.float64(0.089853335220838)],[48.416143768186664]
1119,"(32.646429999999995, -88.20871)",1,[np.float64(0.5017544186813186)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",40,[np.float64(1.7832449534090908)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",41,[np.float64(1.7832449534090908)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",43,[np.float64(1.7832449534090908)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",44,[np.float64(1.7832449534090908)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",46,[np.float64(1.7832449534090908)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",47,[np.float64(1.7832449534090908)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",50,[np.float64(0.8897621314285715)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",51,[np.float64(0.8897621314285715)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",52,[np.float64(0.8897621314285715)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",53,[np.float64(0.8897621314285715)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",54,[np.float64(0.8897621314285715)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",55,[np.float64(0.8897621314285715)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",56,[np.float64(0.8897621314285715)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",61,[np.float64(0.0264619011235955)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",62,[np.float64(0.0264619011235955)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",63,[np.float64(0.0264619011235955)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",64,[np.float64(0.0264619011235955)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",65,[np.float64(0.0264619011235955)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",105,[np.float64(0.5017544186813186)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",106,[np.float64(0.5017544186813186)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",107,[np.float64(0.5017544186813186)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",108,[np.float64(0.5017544186813186)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",109,[np.float64(0.2494365066666666)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",110,[np.float64(0.2494365066666666)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",111,[np.float64(0.2494365066666666)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",164,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",165,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",166,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",167,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",169,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",170,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",171,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",172,[np.float64(0.08340273)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",193,[np.float64(0.1120186942242355)],[38.20800913489049]
1119,"(32.646429999999995, -88.20871)",197,[np.float64(0.1120186942242355)],[38.20800913489049]
