year,j_day,change in sw,runoff,evaporation,transpiration,drainage,precipitation,calculated water,difference
,,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2010,206,-3.1098635355714066,0.0,1.0115843579526704,2.0982791776187226,0.0,0.0,-1.3322676295501878e-14,1.3322676295501878e-14
2010,207,-17.349197897647258,0.0,0.9132824688956357,2.2825465322679213,14.153368896483727,0.0,2.4868995751603507e-14,-2.4868995751603507e-14
2010,208,-24.04702126268981,0.0,0.7490270464669707,2.260691059394043,21.037303156828795,0.0,-3.552713678800501e-15,3.552713678800501e-15
2010,209,9.49432364119943,0.30593495991550795,0.6313748595540888,2.268366539330991,0.0,12.7,12.700000000000017,-1.7763568394002505e-14
2010,210,-3.660267068242149,0.0,1.1675230131445562,2.4927440550975466,0.0,0.0,-4.618527782440651e-14,4.618527782440651e-14
2010,211,-3.057788085771449,0.0,0.8376162964454316,2.220171789326011,0.0,0.0,-6.217248937900877e-15,6.217248937900877e-15
2010,212,-0.4205922488214924,0.0,0.39945253981677636,1.266738657811158,0.02440105119357918,1.27,1.2700000000000213,-2.1316282072803006e-14
2010,213,-2.900566800047031,0.0,0.697214118778277,2.20335268126875,0.0,0.0,-3.9968028886505635e-15,3.9968028886505635e-15
2010,214,-3.063336245661432,0.0,0.646732509177685,2.4166037364837445,0.0,0.0,-2.6645352591003757e-15,2.6645352591003757e-15
2010,215,-1.5717063255947608,0.0,0.428590542469486,1.90511578312529,0.0,0.762,0.7620000000000156,-1.554312234475219e-14
2010,216,-2.829299094885158,0.0,0.4904183539330291,2.3388807409521286,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16
2010,217,-2.697968890492433,0.0,0.41021911470691724,2.287749775785495,0.0,0.0,-2.042810365310288e-14,2.042810365310288e-14
2010,218,-2.4897153403610304,0.0,0.33366564745679866,2.1560496929042228,0.0,0.0,-8.881784197001252e-15,8.881784197001252e-15
2010,219,-2.783379167655454,0.0,0.3316251294406345,2.45175403821481,0.0,0.0,-9.325873406851315e-15,9.325873406851315e-15
2010,220,25.842309428352323,6.757980402768182,0.22955151564809018,1.9681586532314228,0.0,34.798,34.798000000000016,-1.4210854715202004e-14
2010,221,14.020275756476252,3.0756912577431983,0.8202026567256685,1.8958303290548735,0.0,19.812,19.811999999999994,7.105427357601002e-15
2010,222,-3.3037347018577634,0.0,0.9983497947363652,2.3053849071214034,0.0,0.0,5.329070518200751e-15,-5.329070518200751e-15
2010,223,-3.577817647919005,0.0,0.7718863718659849,2.16840925982827,0.637522016224754,0.0,3.885780586188048e-15,-3.885780586188048e-15
2010,224,-16.56361695108052,0.0,0.6234347992207335,2.080635539636895,13.85954661222287,0.0,-1.9539925233402755e-14,1.9539925233402755e-14
2010,225,-2.9723453140669562,0.0,0.6065237920445872,2.36582152202237,0.0,0.0,1.3322676295501878e-15,-1.3322676295501878e-15
2010,226,23.25382753399333,8.503175754634137,0.38083175477293396,1.6441649565996144,0.0,33.782,33.78200000000002,-2.1316282072803006e-14
2010,227,-2.696687836221429,0.0,0.9884235085151981,1.708264327706216,0.0,0.0,-1.4654943925052066e-14,1.4654943925052066e-14
2010,228,-2.140608826262678,0.0,0.9460249306857287,1.1945838955769728,0.0,0.0,2.353672812205332e-14,-2.353672812205332e-14
2010,229,-13.388884835310876,0.0,0.8802395425587134,0.7992282567505744,11.709417036001568,0.0,-1.9539925233402755e-14,1.9539925233402755e-14
2010,230,-0.8954727103059099,0.0,0.5655817586888358,0.32989095161707055,0.0,0.0,-3.774758283725532e-15,3.774758283725532e-15
2010,231,-0.8849581232459229,0.0,0.6737405639875308,0.2112175592583839,0.0,0.0,-8.215650382226158e-15,8.215650382226158e-15
2010,232,-0.3710702759258879,0.0,0.7730951874383646,0.10597508848754221,0.0,0.508,0.508000000000019,-1.8984813721090177e-14
2010,233,19.896011291834867,4.300474917126549,0.667459352738102,0.028054438300488854,0.0,24.892,24.892000000000007,-7.105427357601002e-15
2010,234,-0.9778741123303405,0.0,0.9737469986710169,0.004127113659317,0.0,0.0,-6.5503158452884236e-15,6.5503158452884236e-15
2010,235,-1.071364418271969,0.0,1.0710575696333249,0.00030684863863484214,0.0,0.0,-9.325873406851315e-15,9.325873406851315e-15
2010,236,-13.056304207693444,0.0,0.9746597298784196,0.0,12.081644477815038,0.0,1.4210854715202004e-14,-1.4210854715202004e-14
2010,237,-0.8209835918924284,0.0,0.8209835918924296,0.0,0.0,0.0,1.2212453270876722e-15,-1.2212453270876722e-15
2010,238,-0.7175673530202857,0.0,0.7175673530202802,0.0,0.0,0.0,-5.551115123125783e-15,5.551115123125783e-15
2010,239,-0.7168568870878005,0.0,0.7168568870877875,0.0,0.0,0.0,-1.2989609388114332e-14,1.2989609388114332e-14
2010,240,-0.8028911994255736,0.0,0.8028911994255805,0.0,0.0,0.0,6.8833827526759706e-15,-6.8833827526759706e-15
2010,241,-0.7997096781610367,0.0,0.7997096781610272,0.0,0.0,0.0,-9.43689570931383e-15,9.43689570931383e-15
2010,242,-0.7710233968800253,0.0,0.7710233968800303,0.0,0.0,0.0,4.9960036108132044e-15,-4.9960036108132044e-15
2010,243,-0.4958695329479781,0.0,0.4958695329479755,0.0,0.0,0.0,-2.609024107869118e-15,2.609024107869118e-15
2010,244,30.027974991493863,20.581330739129477,0.4446942693766714,0.0,0.0,51.054,51.054000000000016,-1.4210854715202004e-14
2010,245,-0.15143098399846622,0.0,0.9134309839984719,0.0,0.0,0.762,0.7620000000000057,-5.662137425588298e-15
